name,image,url,role
Orevaoghene Ahia,herd_of_manatees.jpg,http://ark.cs.washington.edu,UW Ph.D. student
Victoria Ebert,bike_of_bees.jpg,,UW Ph.D. student
Yanai Elazar,scurry_of_chipmunks.jpg,https://yanaiela.github.io,AI2/UW postdoc
Hila Gonen,convergence_of_kinkajou.jpg,https://u.cs.biu.ac.il/~gonenhi/,UW postdoc
Suchin Gururangan,pack_of_dogs.jpg,https://suchin.io/,UW Ph.D. student
Nikita Haduong,shiver_of_sharks.jpg,http://ark.cs.washington.edu,UW Ph.D. student
Yushi Hu,streak_of_tigers.jpg,https://yushi-hu.github.io/,UW Ph.D. student
Jungo Kasai,parcel_of_deer.jpg,https://homes.cs.washington.edu/~jkasai,UW Ph.D. student
Phillip Keung,skein_of_geese.jpg,https://www.amazon.science/author/phillip-keung,UW Ph.D. student
Alisa Liu,herd_of_cows.jpg,https://alisawuffles.github.io/,UW Ph.D. student
Rahul Nadkarni,skulk_of_foxes.jpg,https://homes.cs.washington.edu/~rahuln,UW Ph.D. student
Ofir Press,business_of_ferrets.jpg,https://ofir.io,UW Ph.D. student
Sofia Serrano,implausibility_of_gnus.jpg,http://ark.cs.washington.edu,UW Ph.D. student
Weijia Shi,cluster_of_antelopes.jpg,https://weijia-shi.netlify.app/,UW Ph.D. student
Wenya Wang,pandemonium_of_parrots.jpg,https://personal.ntu.edu.sg/wangwy/,UW postdoc
Yizhong Wang,aurora_of_polar_bears.jpg,http://yizhong-wang.com/,UW Ph.D. student
Noah Smith,parade_of_elephants.jpg,http://homes.cs.washington.edu/~nasmith,UW professor
