name,url,school,year
Kai Nylund,https://kainylund.github.io/,UW,2024
Muru Zhang,https://nanami18.github.io/,UW,2024
Alan Li,https://www.linkedin.com/in/alan-li-2020/,UW,2024
Aashna Sheth,https://www.linkedin.com/in/aashnasheth/,UW,2024
Shengqi Zhu,https://infosci.cornell.edu/content/zhu,UW,2023
Zeyu Leo Liu,https://leo-liuzy.github.io/,UW,2023 
Kaiser Sun,https://kaiserwholearns.github.io/,UW,2022
Tobias Rohde,,UW,2022
Ivan Montero,https://www.ivamon.com/,UW,2022
Ethan Chau,https://echau18.gitlab.io/,UW,2021
Zeyu Blarry Wang,https://www.linkedin.com/in/blarry/,UW,2021
Zhaofeng Wu,https://zhaofengwu.github.io/,UW,2021
Xuhui Zhou,https://xuhuizhou.github.io/,UW,2021
Xinyi Wu,,UW,2020
Sam Gehman,http://www.samgehman.com/,UW,2020
Karishma Mandyam,https://www.linkedin.com/in/kmandyam,UW,2020
Tam Dang,https://dangitstam.github.io,UW,2019
Ron Fan,,UW,2019
Aishwarya Nirmal,,UW,2019
Deric Pang,https://dericp.github.io,UW,2019
Suchin Gururangan,http://kernelmachine.github.io,UW,2018
Yi Zhu,https://zhu-y11.github.io/,UW,2017
Rohan Ramanath,http://rohanr.com,CMU,2015
Victor Chahuneau,http://victor.chahuneau.fr,CMU,2013
Cari (Sisson) Bader,http://www.cs.cmu.edu/~csisso,CMU,2008
Mengqiu Wang,http://cs.stanford.edu/people/mengqiu,CMU,2007
